 0.139806  29.09056  2.06 187 203 255 " 21Alp And"
 0.152972  59.14972  2.27 249 248 255 " 11Bet Cas"
 0.156861 -45.74750  3.88 255 219 179 "   Eps Phe"
 0.220611  15.18361  2.83 187 203 255 " 88Gam Peg"
 0.244000 -18.93278  4.44 255 214 139 "  7    Cet"
 0.323806  -8.82389  3.56 255 219 179 "  8Iot Cet"
 0.334528 -64.87472  4.23 249 248 255 "   Zet Tuc"
 0.429194 -77.25417  2.80 255 246 238 "   Bet Hyi"
 0.438056 -42.30611  2.39 255 219 179 "   Alp Phe"
 0.436722 -43.68000  3.94 212 223 255 "   Kap Phe"
 0.525750 -62.95806  4.37 187 203 255 "   Bet1Tuc"
 0.550000  62.93167  4.16 187 203 255 " 15Kap Cas"
 0.616194  53.89694  3.66 187 203 255 " 17Zet Cas"
 0.614694  33.71944  4.36 187 203 255 " 29Pi  And"
 0.642583  29.31167  4.37 255 246 238 " 30Eps And"
 0.655472  30.86083  3.27 255 219 179 " 31Del And"
 0.675139  56.53722  2.23 255 219 179 " 18Alp Cas"
 0.726500 -17.98667  2.04 255 246 238 " 16Bet Cet"
 0.722556 -57.46306  4.36 212 223 255 "   Eta Phe"
 0.788972  24.26722  4.06 255 219 179 " 34Zet And"
 0.818333  57.81583  3.44 249 248 255 " 24Eta Cas"
 0.811389   7.58500  4.43 255 219 179 " 63Del Psc"
 0.945139  60.71667  2.47 187 203 255 " 27Gam Cas"
 0.945889  38.49944  3.87 212 223 255 " 37Mu  And"
 0.953444  23.41750  4.42 255 246 238 " 38Eta And"
 0.976778 -29.35750  4.31 187 203 255 "   Alp Scl"
 1.145750  86.25694  4.25 255 219 179 "HR 285"
 1.049056   7.89000  4.28 255 219 179 " 71Eps Psc"
 1.101389 -46.71861  3.31 255 246 238 "   Bet Phe"
 1.143167 -10.18222  3.45 255 219 179 " 31Eta Cet"
 1.158389  47.24194  4.25 187 203 255 " 42Phi And"
 1.162194  35.62056  2.06 255 214 139 " 43Bet And"
 1.139750 -55.24583  3.92 187 203 255 "   Zet Phe"
 1.185056  55.14972  4.33 212 223 255 " 33The Cas"
 1.400389  -8.18333  3.60 255 219 179 " 45The Cet"
 1.430278  60.23528  2.68 212 223 255 " 37Del Cas"
 2.530194  89.26417  2.02 249 248 255 "  1Alp UMi"
 1.472750 -43.31833  3.41 255 214 139 "   Gam Phe"
 1.524722  15.34583  3.62 255 246 238 " 99Eta Psc"
 1.520861 -49.07278  3.95 255 219 179 "   Del Phe"
 1.613278  41.40556  4.09 249 248 255 " 50Ups And"
 1.633222  48.62833  3.57 255 219 179 " 51    And"
 1.628583 -57.23667  0.46 187 203 255 "   Alp Eri"
 1.690528   5.48750  4.44 255 219 179 "106Nu  Psc"
 1.727667  50.68861  4.07 187 203 255 "   Phi Per"
 1.734472 -15.93750  3.50 255 246 238 " 52Tau Cet"
 1.756556   9.15778  4.26 255 246 238 "110Omi Psc"
 1.857667 -10.33500  3.73 255 219 179 " 55Zet Cet"
 1.906583  63.67000  3.38 187 203 255 " 45Eps Cas"
 1.884694  29.57889  3.41 249 248 255 "  2Alp Tri"
 1.910667  20.80806  2.64 212 223 255 "  6Bet Ari"
 1.894111 -46.30250  4.41 255 214 139 "   Psi Phe"
 1.932639 -51.60889  3.70 255 246 238 "   Chi Eri"
 2.057250  72.42139  3.98 212 223 255 " 50    Cas"
 2.000083 -21.07778  4.00 255 214 139 " 59Ups Cet"
 1.979500 -61.56972  2.86 249 248 255 "   Alp Hyi"
 2.034111   2.76361  4.33 212 223 255 "113Alp Psc"
 2.065000  42.32972  2.26 255 219 179 " 57Gam1And"
 2.119556  23.46250  2.00 255 219 179 " 13Alp Ari"
 2.159056  34.98722  3.00 212 223 255 "  4Bet Tri"
 2.216667   8.84667  4.37 255 246 238 " 65Xi 1Cet"
 2.288583  33.84722  4.01 212 223 255 "  9Gam Tri"
 2.275167 -51.51222  3.56 187 203 255 "   Phi Eri"
 2.322417  -2.97750  3.04 255 214 139 " 68Omi Cet"
 2.362472 -68.65944  4.09 212 223 255 "   Del Hyi"
 2.469306   8.46000  4.28 187 203 255 " 73Xi 2Cet"
 2.449750 -47.70389  4.25 187 203 255 "   Kap Eri"
 2.658056   0.32861  4.07 187 203 255 " 82Del Cet"
 2.677778 -39.85556  4.11 255 219 179 "   Iot Eri"
 2.736667  49.22833  4.12 249 248 255 " 13The Per"
 2.721667   3.23583  3.47 212 223 255 " 86Gam Cet"
